,Name,Authors,ISBN,ID,genres,pagesNumber,averageRating,userRating
5639,Johnny Mnemonic,William Gibson,000224618X,4312,Science Fiction Science Fiction Cyberpunk Fiction Short Stories Culture Film Media Tie In Childrens Picture Books Plays Media Tie In Tv Drama,160.0,3.77,4
5640,Johnny Mnemonic,William Gibson,000224618X,895,Science Fiction Science Fiction Cyberpunk Fiction Short Stories Culture Film Media Tie In Childrens Picture Books Plays Media Tie In Tv Drama,160.0,3.77,4
107,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,2631,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
75,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,3595,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,3
77,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,3831,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
95,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,329,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,3
108,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,2635,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
80,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,4089,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
112,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,278,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
86,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,1737,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,3
70,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,3475,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
126,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,5682,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,5
103,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,2383,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,5
117,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,5398,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,2
130,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,18,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,5
134,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,319,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
106,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,2613,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,5
121,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,5154,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
118,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,5392,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,5
88,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,4529,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
96,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,338,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,3
90,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,3161,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,5
116,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,1097,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,5
81,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,4147,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,4
92,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,0002247399,1455,Fantasy Fiction Fantasy Epic Fantasy Science Fiction Fantasy Fantasy High Fantasy Fantasy Dragons Adult Adventure Audiobook Epic,1016.0,4.33,5
